source,question,answer
hospital,南京市六合区中医院有哪些大型诊疗设备？,南京市六合区中医院拥有DSA导管室、磁共振成像设备、128排/64排/16排螺旋CT、DR、体外碎石机、大功率钬激光、心脏彩超、电子胃肠镜等大型诊疗设备100多台套。
hospital,南京市六合区中医院是南京中医药大学教学医院吗？,南京市六合区中医院是南京中医药大学教学医院，同时还是国家区域中医（儿科）诊疗中心江北院区分中心。
hospital,南京市六合区中医院的智慧共享中药房覆盖哪些范围？,南京市六合区中医院牵头六合区15家社区卫生服务中心和3家村卫生室打造“智慧共享中药房”项目。
hospital,南京市六合区中医院的中药饮片价格有优惠吗？,南京市六合区中医院引入省中总院相关制剂品种后，同类中药饮片价格下降30%左右。
hospital,南京市六合区中医院有哪些中医药特色服务？,南京市六合区中医院拓展了三伏贴、中药茶饮等传统中医药治疗服务，还开设了中医护理“夜门诊”。
hospital,南京市六合区中医院有名中医工作室吗？,南京市六合区中医院建立了省名中医孙伟工作室、市名中医吕立刚工作室，还开展名老中医药专家学术经验师承教育工作。
hospital,南京市六合区中医院的科研成果有哪些？,南京市六合区中医院有省、市、区级科研课题立项近30项，荣获发明专利1项、实用新型专利7项，还取得了传统中药制剂“桃红洗剂”备案文号。
hospital,南京市六合区中医院有多少个一级临床科室？,南京市六合区中医院设有一级临床科室23个，病区10个，医技科室10个。
hospital,南京市六合区中医院开设中医护理“夜门诊”了吗？,南京市六合区中医院开设了中医护理“夜门诊”，同时拓展了三伏贴、中药茶饮等传统中医药服务。
hospital,南京市六合区中医院的医技科室有多少个？,南京市六合区中医院设有医技科室10个，一级临床科室23个，开放床位400张。
hospital,南京市六合区中医院引入了省中总院哪些制剂品种？,南京市六合区中医院引入了省中总院肺宁合剂、消风冲剂等54个制剂品种，有效降低了同类中药饮片价格。
hospital,南京市六合区中医院的智慧共享中药房获得了哪些荣誉？,南京市六合区中医院的智慧共享中药房项目荣获2022年六合区政协优秀提案、2023年南京市首届深化医改优秀案例，还入选2024年南京市数据要素应用大赛二十大优秀案例等多项荣誉。
hospital,南京市六合区中医院有哪些中医诊疗设备？,南京市六合区中医院拥有中医诊疗设备13类37种近500台，能较好满足群众健康服务需求。
hospital,如何在南京市六合区中医院现场预约挂号？,可凭身份证、医保卡或就诊卡在门诊大厅自助挂号机上根据提示选择预约挂号，接着选择科室、专家预约及就诊时间，确认后取纸质预约凭证，就诊当天持医保卡或就诊卡在自助机缴费取号（可预约一周内的门诊号）。
hospital,如何在南京市六合区中医院进行网络预约挂号？,可通过网址www.nj12320.org进行网络预约挂号，就诊当天凭验证码至门诊挂号处挂号（可预约一周内的门诊号）。
hospital,南京市六合区中医院微信预约挂号的方式是什么？,可关注江苏省中医院江北院区（微信号：gh_25ad3700345b）进行微信预约挂号。
hospital,南京市六合区中医院预约挂号可预约多久内的门诊号？,现场预约、网络预约均可预约一周内的门诊号。
hospital,南京市六合区中医院现场预约挂号后就诊当天需要做什么？,就诊当天需持医保卡或就诊卡在自助机缴费取号，完成取号后即可就诊。
hospital,治疗糖尿病、痛风的专家有推荐吗？,推荐江苏省中医院的汪悦主任中医师，擅长糖尿病、痛风、桥本病、类风湿关节炎、强直性脊柱炎、干燥综合症，每月一次在名医堂门诊。
hospital,肾病相关疾病找哪个专家？,推荐江苏省中医院的孙伟主任中医师，擅长肾脏病及相关疾病，每月一次在名医堂门诊。
hospital,痛风、类风湿关节炎推荐哪个专家？,推荐江苏省中医院的陆双军主任中医师，擅长痛风、类风湿关节炎，周四全天在名医堂门诊。
hospital,脾胃病、萎缩性胃炎推荐哪个专家？,推荐本院的吕立刚主任中医师，擅长萎缩性胃炎、慢性胃炎、反流性食管炎、肠炎、脂肪肝、胆石症，周一、二、四、五上午在脾胃病科门诊，周四下午在名医堂门诊。
hospital,眩晕、失眠、帕金森病推荐哪个专家？,推荐本院的强智勇主任中医师，擅长眩晕、失眠、头痛、中风、帕金森病，周六下午、周日全天在神经内科门诊。
hospital,脑梗塞、高血压找哪个专家？,推荐本院的石义永副主任医师，擅长脑梗塞、眩晕症、头痛及高血压，周一全天、周三上午、周五全天在脑病科门诊；也可选择强锘副主任中医师，周二上午、周四全天在脑病科门诊。
hospital,咳嗽、支气管哮喘推荐哪个专家？,推荐本院的吕铭主任中医师，擅长咳嗽、支气管哮喘、老慢支、支气管扩张、气胸、胸腔积液、肺癌中医调理，周一上午、周三上午、周五上午在肺病科门诊，周二下午在名医堂门诊；也可选择何宏梅副主任中医师，周六上午在肺病科门诊。
hospital,糖尿病、甲状腺疾病找哪个专家？,推荐本院的裴琴主任中医师，擅长糖尿病、甲亢、甲减、甲状腺结节、痛风、糖尿病相关并发症，周一、二上午，周四、六上午在内分泌科门诊；也可选择吴亚靓副主任中医师，周三上午在内分泌科门诊。
hospital,高血压、冠心病推荐哪个专家？,推荐本院的林传鸿主任医师，擅长高血压、冠心病、心绞痛、心律失常，周一上午、周三上午在心血管科门诊；也可选择王建文副主任中医师，周四上午、周六上午在心血管科门诊，周五上午在中医内科门诊。
hospital,关节病、关节置换手术找哪个专家？,推荐南京市第一医院的王黎明主任医师，擅长各种关节病的诊治，尤其擅长各类关节置换手术，隔周周一上午在关节病门诊；也可选择蒋逸秋主任医师，周五上午在关节病门诊，擅长关节疾病、运动损伤的精准微创诊疗。
hospital,肝病、消化系统疾病推荐哪个专家？,推荐江苏省中医院的赵建学主任医师，擅长消化系统疾病、肝炎、肝硬化、脂肪肝、腹泻病，隔周周四上午在名医堂门诊。
hospital,妇科疾病、中医调理找哪个专家？,推荐江苏省中医院的唐雪梅中医学教授，擅长各类妇科疾病、妇科肿瘤术后治疗、亚健康人群中医调理，隔周周一上午在名医堂门诊；也可选择本院的曹艳春副主任医师，周一上午、周二上午在妇产科门诊，擅长异常子宫出血、盆腔包块、子宫肌瘤。
hospital,皮肤病、湿疹银屑病推荐哪个专家？,推荐江苏省中医院的刘岩主任中医师，擅长湿疹、银屑病、白癜风、黄褐斑、癣、皮肤外科，每月两次、隔周周四上午在皮肤科门诊；也可选择本院的余宏副主任中医师，周一上午在皮肤科门诊，擅长痤疮、黄褐斑、湿疹。
hospital,肛肠疾病、便秘痔疮找哪个专家？,推荐本院的周德富主任中医师，擅长功能性便秘、肛瘘、痔疮，周一全天、周五上午在肛肠科门诊；也可选择潘平才主任中医师，周二上午、周六上午在肛肠科门诊，擅长内外痔、混合痔、肛门瘙痒肛瘘。
hospital,骨伤科疾病、腰椎间盘突出推荐哪个专家？,推荐本院的许春彦主任中医师，擅长腰椎间盘突出症、颈椎病、创伤骨折，周五上午在骨伤科门诊；也可选择郑勇主任中医师，周一全天、周四下午在骨伤科门诊，擅长髋、膝骨关节炎、股骨头坏死、肩袖损伤。
hospital,针灸科疾病、颈肩腰腿痛找哪个专家？,推荐本院的安应成主任中医师，擅长痛经、风湿类疾病、慢性盆腔炎、痛症，周一、二全天，周四、五上午在针灸科门诊；也可选择王晓东主任中医师，周一至周五上午在针灸科门诊，擅长顽固性肩颈腰腿痛头痛头晕慢性肠胃疾病。
hospital,儿科疾病、慢性咳嗽推荐哪个专家？,推荐本院的景晖副主任医师，擅长小儿慢性咳嗽、变异性哮喘、消化系统疾病，周一全天、周三全天、周六上午在儿科门诊。
hospital,外科疾病、肝胆胃肠找哪个专家？,推荐鼓楼医院的吴亚夫主任医师，擅长肝脏、胆道、胰腺、胃肠、甲状腺、乳腺等疾病的外科治疗，周三上午在外科门诊；也可选择本院的张全轴主任医师，周二上午在外科门诊，擅长胆道、胃肠、甲状腺、乳腺疾病。
hospital,心血管疾病找哪个胸科医院专家？,推荐胸科医院的黄雷副主任医师，擅长心血管相关疾病，周五上午在心血管内科门诊。
hospital,中西医结合治疗消化系统肿瘤推荐哪个专家？,推荐江苏省中西医结合医院的王小宁主任中医师，擅长消化系统疾病、慢性萎缩性胃炎、功能性胃肠病、心悸失眠，以及肺癌、乳腺癌等疾病的中西医结合治疗，隔周周二上午在名医堂门诊。
hospital,老年心脑血管疾病找哪个专家？,推荐江苏省中医院的韩旭主任中医师，擅长老年冠心病、高血压、高血脂症、糖尿病、脑梗塞、失眠等老年心脑血管疾病及老年杂病的诊断与治疗，隔周周二上午在名医堂门诊。
hospital,泌尿男科疾病、中医体质调理找哪个专家？,推荐江苏省中医院的卢子杰主任中医师，擅长泌尿生殖男科疾病、中医体质辨识调理，隔周周五上午在名医堂门诊。
hospital,老年病、糖尿病慢性并发症推荐哪个专家？,推荐本院的何亚泳副主任中医师，擅长老年人内科慢性疾病综合治疗，如高血压病、糖尿病、脑梗死、慢性阻塞性肺病、临终关怀等，周三上午在老年医学科门诊；也可选择周晓云副主任中医师，周一至周五下午在老年医学科门诊，擅长老年肿瘤疑难杂症的中医调治。
hospital,泌尿系结石、前列腺增生找哪个专家？,推荐本院的肖荣副主任医师，擅长泌尿系结石、前列腺增生、泌尿系肿瘤等疾病，周五上午在泌尿外科门诊；也可选择于佳副主任医师，周二上午、周四上午在泌尿外科门诊，擅长泌尿系肿瘤、泌尿系结石的手术及治疗。
hospital,口腔科疾病、义齿正畸找哪个专家？,推荐本院的孙宝华副主任医师，擅长义齿、正畸，周四下午、周六全天在口腔科门诊；也可选择陈继红副主任医师，周二上午、周四上午在口腔科门诊，擅长成人根管治疗、复杂牙的拔除、烤瓷冠修复。
hospital,眼科疾病、白内障手术找哪个专家？,推荐本院的蒋宁副主任医师，擅长白内障、泪道手术，周三上午、周六上午在眼科门诊；另外江苏省中医院眼科专家杨兴华主任每周四来院开展眼科手术，可到眼科预约。
hospital,耳鼻喉科疾病、鼻炎鼻窦炎推荐哪个专家？,推荐本院的胡波副主任医师，擅长中耳炎、慢性鼻炎、鼻窦炎、过敏性鼻炎、声带小结、声带息肉、扁桃体腺样体肥大，周二全天、周三全天在耳鼻喉科门诊；也可选择徐英副主任中医师，周日上午在耳鼻喉科门诊，擅长耳鼻喉科相关疾病的中西医治疗。
hospital,肾内科疾病、急慢性肾炎找哪个专家？,推荐本院的李光超副主任中医师，擅长急慢性肾炎、急慢性肾功能不全、泌尿系统感染、内科杂病、高尿酸血症，周四上午在肾内科门诊，周一下午在名医堂门诊。
hospital,肿瘤化疗、辅助治疗找哪个专家？,推荐本院的吴生明副主任医师，擅长肿瘤化疗、辅助治疗，周一至周五上午在肿瘤科门诊，周二下午在名医堂门诊。
hospital,影像检查、肺部小结节找哪个放射科专家？,推荐本院的董军副主任医师，擅长结节鉴别诊断与随访管理、肌骨系统与运动损伤等影像诊断、肌骨系统运动损伤影像诊断，周一上午在放射科门诊；也可选择李娟副主任医师，擅长肺部小结节、支气管扩张、四肢小关节骨折等的鉴别与诊断，周二上午在放射科门诊。
disease,百日咳有哪些症状？,百日咳的典型表现包括阵发性痉挛性咳嗽、咳嗽末鸡鸣样吸气吼声，还可能伴有胸闷、低热、惊厥等；婴儿患病时需警惕窒息和肺炎等并发症。
disease,肺炎怎么治疗？,肺炎通常根据病因和病情采用药物治疗或支持性治疗，治疗科室一般为内科或呼吸内科；具体方案需要结合检查结果由医生确定。
disease,高血压有哪些常见症状？,高血压可能表现为头晕、头痛、心悸、乏力等，但不少患者没有明显症状；确诊和治疗应以血压监测和医生诊断为准。
disease,糖尿病怎么治疗？,糖尿病治疗通常包括饮食控制、运动、血糖监测和药物治疗，部分患者可能需要使用降糖药物或胰岛素，具体需遵医嘱。
disease,感冒和流行性感冒有什么区别？,普通感冒症状通常较轻，以鼻塞、流涕、咳嗽为主；流行性感冒全身症状更明显，常伴有高热、乏力、肌肉酸痛，传染性也更强。
disease,失眠怎么调理？,失眠可以先从规律作息、减少睡前刺激、放松训练和改善睡眠环境入手；长期失眠或影响日间状态时建议到神经内科或心理科就诊。
disease,头痛需要做哪些检查？,头痛原因较多，常见检查包括神经系统查体、血压测量、血常规等，必要时进行头颅影像检查；持续或剧烈头痛应及时就医。
disease,过敏性鼻炎有哪些症状？,过敏性鼻炎常见症状包括打喷嚏、流清涕、鼻塞、鼻痒，也可能伴随眼痒；治疗包括避免过敏原、药物治疗和必要时脱敏治疗。
drug,高血压患者常用哪些药物？,高血压用药需由医生根据血压水平和合并症选择，常用方案包括降压药、中成药等，不应自行调药；本知识库中的推荐药物仅作参考资料。
drug,布洛芬的适应症是什么？,布洛芬常用于缓解头痛、发热、关节痛、肌肉痛等轻中度疼痛，使用时需按说明书控制剂量，并注意胃肠道等不良反应。
drug,药品的不良反应需要如何判断？,应优先查看药品说明书中的不良反应、禁忌和注意事项；出现严重或持续不适时停止用药并尽快就医，不要自行判断。
hospital,医院专家出诊时间在哪里查？,可在本知识库的医院科室文档中查询，也可通过医院公众号、导诊台或院内自助设备查看实时出诊安排。
